timestamp_revisao,nome_revisor,char_beneficiario_aprovado,makers_aprovados,filenames_associados,acao
2025-05-13T15:50:06.311365,Erishszin,Xaandaum,"Xaandaum Bouz,Sor Xaandaum","20250513_085209_603501_B_Xaandaum_M1_Xaandaum_Bouz_img1.png,20250513_085209_603501_B_Xaandaum_M2_Sor_Xaandaum_img2.png",Aprovado
2025-05-13T15:50:43.032475,Erishszin,Constantine Full Power,"Constantine Full Power,Monk King Beer","20250513_102607_021647_B_Constantine_Full_Power_M1_Constantine_Full_Power_img1.jpg,20250513_102607_021647_B_Constantine_Full_Power_M2_Monk_King_Beer_img2.jpg",Aprovado
2025-05-13T16:22:25.710595,Rogerio Aston,Ismael,"Ismael Outlaws,Sovim Pelobolos","20250513_161818_484478_B_Ismael_M1_Ismael_Outlaws_img1.jpg,20250513_161818_484478_B_Ismael_M2_Sovim_Pelobolos_img2.jpg",Aprovado
2025-05-13T16:25:54.908288,Rogerio Aston,Castilho,"Ek Braum,Meiker Zinz","20250513_162320_210958_B_Castilho_M1_Ek_Braum_img1.jpg,20250513_162320_210958_B_Castilho_M2_Meiker_Zinz_img2.jpg",Aprovado
2025-05-13T16:26:27.569483,diegodeabreu,-Kuhaku- Dal,"kuhaku,Dal pala","20250513_162257_037633_B_Kuhaku_Dal_M1_kuhaku_img1.jpg,20250513_162257_037633_B_Kuhaku_Dal_M2_Dal_pala_img2.jpg",Aprovado
2025-05-13T16:28:50.144765,Rogerio Aston,Dinho,"Dinhowzk,Xybra bombaum","20250513_162639_723745_B_Dinho_M1_Dinhowzk_img1.png,20250513_162639_723745_B_Dinho_M2_Xybra_bombaum_img2.png",Aprovado
2025-05-13T16:29:16.991213,Rogerio Aston,Soul Killer,"Soul Killer Pro,Gurila The Monk","20250513_162751_576886_B_Soul_Killer_M1_Soul_Killer_Pro_img1.png,20250513_162751_576886_B_Soul_Killer_M2_Gurila_The_Monk_img2.png",Aprovado
2025-05-13T16:29:40.657534,Rogerio Aston,Barros,"Pala Skilled,Fuh Miiga","20250513_162539_596688_B_Barros_M1_Pala_Skilled_img1.jpg,20250513_162539_596688_B_Barros_M2_Fuh_Miiga_img2.jpg",Aprovado
2025-05-13T16:36:02.810895,Rogerio Aston,Lutz,"Lutzmekdie,Lutzzzzz","20250513_162243_583030_B_Lutz_M1_Lutzmekdie_img1.png,20250513_162243_583030_B_Lutz_M2_Lutzzzzz_img2.png",Aprovado
2025-05-13T16:36:36.338115,Rogerio Aston,Rainha do exetares,"Peixao do Israel,Geovane Distance","20250513_155026_294477_B_Rainha_do_exetares_M1_Peixao_do_Israel_img1.jpg,20250513_155026_294477_B_Rainha_do_exetares_M2_Geovane_Distance_img2.jpg",Aprovado
